[2024-06-22 14:43:11,106][utils.model][INFO] - Step 34/40 - val_loss: 0.1608 - val_accuracy: 0.9511
[2024-06-22 14:43:11,126][utils.model][INFO] - Step 35/40 - val_loss: 0.1566 - val_accuracy: 0.9525
[2024-06-22 14:43:11,145][utils.model][INFO] - Step 36/40 - val_loss: 0.1551 - val_accuracy: 0.9529
[2024-06-22 14:43:11,167][utils.model][INFO] - Step 37/40 - val_loss: 0.1520 - val_accuracy: 0.9541
[2024-06-22 14:43:11,187][utils.model][INFO] - Step 38/40 - val_loss: 0.1518 - val_accuracy: 0.9542
[2024-06-22 14:43:11,208][utils.model][INFO] - Step 39/40 - val_loss: 0.1571 - val_accuracy: 0.9525
[2024-06-22 14:43:11,218][utils.model][INFO] - Step 40/40 - val_loss: 0.1543 - val_accuracy: 0.9526
[2024-06-22 14:43:11,220][utils.model][INFO] - Evaluation Results - Val Loss: 0.1543, Val Accuracy: 0.9526 in 40 steps
[2024-06-22 14:43:11,222][flwr][INFO] - fit progress: (3, 0.1543021, {'accuracy': 0.9526}, 37.56938048900338)
[2024-06-22 14:43:11,223][flwr][DEBUG] - evaluate_round 3: strategy sampled 6 clients (out of 6)
[2024-06-22 14:43:11,690][flwr][DEBUG] - evaluate_round 3 received 6 results and 0 failures
[2024-06-22 14:43:11,693][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/epoch.csv
[2024-06-22 14:43:11,834][root][INFO] - Batch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/batch.csv
[2024-06-22 14:43:11,836][root][INFO] - Server data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/server/server.csv
[2024-06-22 14:43:11,836][flwr][INFO] - FL finished in 38.18322928901762
[2024-06-22 14:43:11,838][flwr][INFO] - app_fit: losses_distributed [(1, 1.1762889822324116), (2, 0.32568203409512836), (3, 0.16877940793832144)]
[2024-06-22 14:43:11,839][flwr][INFO] - app_fit: metrics_distributed_fit {'average_norm': [(1, 5.030247783660888), (2, 5.007128079732259), (3, 5.015107440948486)], 'round_time': [(1, 5.327776802237793), (2, 9.722941219933473), (3, 13.735677672020262)], 'average_downlink_time': [(1, 1.3937124544), (2, 1.633665708833333), (3, 1.6324935222)], 'average_rtc_check_time': [(1, 0.1578921200358309), (2, 0.7663340837946938), (3, 0.9335209190146998)], 'average_uplink_time': [(1, 0.0327333062), (2, 0.08916290733333333), (3, 0.23471325279999994)], 'average_computation_time': [(1, 1.8274616241455077), (2, 5.3466114203135175), (3, 8.375779581069946)], 'average_communication_time': [(1, 1.5843378806358308), (2, 2.4891626999613603), (3, 2.8007276940146997)], 'average_fit_time': [(1, 2.116552400588989), (2, 6.413141171137492), (3, 9.779882574081421)], 'average_throughput': [(1, 90.70213892674363), (2, 35.03101161823346), (3, 22.354903644984212)], 'dropouts': [(1, 1), (2, 0), (3, 1)]}
[2024-06-22 14:43:11,839][flwr][INFO] - app_fit: metrics_distributed {'accuracy': [(1, 0.6938333412011465), (2, 0.9116666813691457), (3, 0.9479999939600626)]}
[2024-06-22 14:43:11,839][flwr][INFO] - app_fit: losses_centralized [(0, 2.3139358), (1, 1.1637914), (2, 0.31208548), (3, 0.1543021)]
[2024-06-22 14:43:11,839][flwr][INFO] - app_fit: metrics_centralized {'accuracy': [(0, 0.103), (1, 0.694), (2, 0.9135), (3, 0.9526)]}
